TIME,DATE,voltage,current,power
14:17:57,04/04/2025,74.3,1.1,81.8
14:17:59,04/04/2025,74.4,1.101,82.0
14:18:00,04/04/2025,74.3,1.1,82.0
14:18:01,04/04/2025,74.3,1.1,82.0
14:18:03,04/04/2025,74.3,1.1,82.0
14:18:04,04/04/2025,74.3,1.1,82.0
14:18:07,04/04/2025,74.3,1.1,82.0
14:18:07,04/04/2025,74.3,1.1,82.0
14:18:09,04/04/2025,74.3,1.1,82.0
14:18:10,04/04/2025,74.3,1.1,82.0
14:18:11,04/04/2025,74.3,1.1,82.0
14:18:12,04/04/2025,74.3,1.1,82.0
14:18:14,04/04/2025,74.3,1.1,82.0
14:18:17,04/04/2025,74.3,1.1,82.0
14:18:21,04/04/2025,74.3,1.1,82.0
14:18:24,04/04/2025,74.3,1.1,82.0
14:18:24,04/04/2025,74.3,1.1,82.0
14:18:25,04/04/2025,74.3,1.1,82.0
14:18:28,04/04/2025,74.3,1.1,82.0
14:18:29,04/04/2025,74.3,1.1,82.0
14:18:30,04/04/2025,74.3,1.1,82.0
14:18:34,04/04/2025,74.3,1.1,82.0
14:18:38,04/04/2025,74.3,1.1,82.0
14:18:40,04/04/2025,74.3,1.1,82.0
14:18:41,04/04/2025,74.3,1.1,82.0
14:18:42,04/04/2025,74.3,1.1,82.0
14:18:46,04/04/2025,74.3,1.1,82.0
14:18:47,04/04/2025,74.3,1.1,82.0
14:18:48,04/04/2025,74.3,1.1,82.0
14:18:49,04/04/2025,74.3,1.1,82.0
14:18:51,04/04/2025,74.3,1.1,82.0
14:18:53,04/04/2025,74.3,1.1,82.0
14:18:54,04/04/2025,74.3,1.1,82.0
14:18:55,04/04/2025,74.3,1.1,82.0
14:18:56,04/04/2025,74.3,1.1,82.0
14:18:59,04/04/2025,74.3,1.1,82.0
14:19:00,04/04/2025,74.3,1.1,82.0
14:19:01,04/04/2025,74.3,1.1,82.0
14:19:02,04/04/2025,74.3,1.1,82.0
14:19:04,04/04/2025,74.3,1.1,82.0
14:19:05,04/04/2025,74.3,1.1,82.0
14:19:06,04/04/2025,74.3,1.1,82.0
14:19:07,04/04/2025,74.3,1.1,82.0
14:19:09,04/04/2025,74.3,1.1,82.0
14:19:11,04/04/2025,74.3,1.1,82.0
14:19:13,04/04/2025,74.3,1.1,82.0
14:19:14,04/04/2025,74.3,1.1,82.0
14:19:15,04/04/2025,74.3,1.1,82.0
14:19:19,04/04/2025,74.3,1.1,82.0
14:19:20,04/04/2025,74.4,1.102,82.2
14:19:22,04/04/2025,74.4,1.102,82.1
14:19:23,04/04/2025,74.3,1.101,82.0
14:19:24,04/04/2025,74.3,1.101,81.9
