experiment name,Date,t_start,t_pulse_start,t_end,WF,FR [%],Q [W],alpha,beta
php,27-03-2025,19:02:42,19:52:00,19:56:00,DI water,60,40,0,0
php,27-03-2025,14:59:44,15:26:10,15:51:40,DI water,60,60,0,0
php,15-09-2024,14:51:46,15:10:08,15:45:00,DI water,60,80,0,0
php,21-11-2024,14:18:28,14:50:10,14:59:10,DI water,60,100,0,0
php,18-11-2024,14:26:51,14:42:30,14:59:30,DI water,60,120,0,0
php,23-10-2024,11:47:16,11:43:44,12:42:00,DI water,60,40,30,0
php,24-10-2024,15:06:46,15:39:21,16:02:01,DI water,60,60,30,0
php,08-09-2024,18:19:09,18:29:17,19:14:00,DI water,60,80,30,0
php,13-11-2024,09:58:01,10:04:40,10:55:00,DI water,60,100,30,0
php,13-11-2024,13:42:17,13:48:00,14:44:18,DI water,60,120,30,0
php,04-11-2024,11:51:36,12:35:00,12:48:00,DI water,60,40,60,0
php,04-11-2024,15:13:00,15:31:00,16:10:00,DI water,60,60,60,0
php,04-12-2024,10:37:23,10:53:00,11:34:30,DI water,60,80,60,0
php,04-12-2024,13:52:12,14:01:44,14:50:01,DI water,60,100,60,0
php,13-04-2024,12:04:15,12:12:25,13:05:01,DI water,60,120,60,0
php,04-04-2024,11:32:05,11:58:00,12:35:00,DI water,60,40,90,0
php,03-04-2024,12:55:21,00:00:00,13:51:24,DI water,60,60,90,0
php,21-03-2024,14:07:55,14:22:10,15:34:00,DI water,60,80,90,0
php,21-03-2024,17:14:05,17:20:10,18:20:01,DI water,60,100,90,0
php,04-04-2024,16:32:36,16:39:10,17:35:00,DI water,60,120,90,0
php,09-10-2024,13:38:38,14:33:05,14:38:00,DI water,60,40,90,30
php,09-10-2024,16:46:30,17:07:30,17:43:29,DI water,60,60,90,30
php,10-10-2024,11:08:07,11:18:00,12:07:00,DI water,60,100,90,30
php,11-10-2024,09:51:09,09:56:30,10:50:00,DI water,60,120,90,30
php,15-10-2024,10:58:00,11:46:00,11:56:00,DI water,60,40,90,60
php,17-10-2024,11:00:17,11:19:00,11:57:00,DI water,60,60,90,60
php,04-10-2024,10:42:46,10:55:40,11:38:04,DI water,60,80,90,60
php,17-10-2024,15:54:39,16:01:50,16:51:01,DI water,60,100,90,60
php,18-10-2024,10:32:50,10:37:25,11:29:02,DI water,60,120,90,60
php,18-10-2024,14:26:25,15:15:19,15:23:00,DI water,60,40,90,90
php,21-10-2024,13:12:15,13:39:41,14:09:00,DI water,60,60,90,90
php,07-10-2024,14:58:46,15:26:00,15:58:00,DI water,60,80,90,90
php,21-10-2024,16:15:57,16:34:20,17:14:00,DI water,60,100,90,90
php,22-10-2024,10:25:51,10:35:11,11:22:00,DI water,60,120,90,90
