voltage,current,power,FR[%],Q[W],alpha,beta,P[bar],Te_mean[K],Tc_mean[K],Te_std[K],Tc_std[K],T_pulse[K]
89.9,1.321,119.0,60,120,90,60,0.9129999999999999,352.33,325.025,273.99083292038307,289.9198886897518,357.07
90.2,1.331,120.4,60,120,90,30,0.3929999999999999,325.66999999999996,303.5,273.9323042886243,274.0610433579144,0.0
82.7,1.214,100.5,60,100,90,0,1.793,367.54999999999995,359.54999999999995,276.02836759292484,285.29440886443905,371.28999999999996
64.4,0.948,61.1,60,60,90,30,0.44299999999999995,354.27,305.59999999999997,273.59384682042344,274.5887494569938,349.99
90.0,1.317,118.6,60,120,90,30,1.613,366.22999999999996,350.79999999999995,273.81483080554375,288.9770864869901,0.0
74.2,1.087,80.8,60,80,90,90,1.383,364.33,335.65,274.490522286275,287.15785493928314,354.48999999999995
73.1,1.077,78.9,60,80,90,60,0.5229999999999999,344.53,304.125,273.88280283842244,274.4026638282742,341.54999999999995
81.8,1.209,99.2,60,100,90,90,0.5329999999999999,326.51,305.29999999999995,273.92006493232714,274.72162336455017,363.90999999999997
52.5,0.778,40.9,60,40,90,90,0.3929999999999999,323.87,303.625,273.3423538406167,274.00391256382994,353.92999999999995
90.0,1.323,119.3,60,120,90,0,1.6229999999999998,366.27,350.125,274.0055699854483,282.95760759138875,0.0
90.7,1.327,120.6,60,120,90,90,1.2129999999999999,372.18999999999994,342.125,278.9364496887124,287.4632514358781,349.03
50.5,0.746,37.8,60,40,90,30,0.5329999999999999,348.22999999999996,305.2,273.5334057902536,274.46021626713554,322.60999999999996
82.6,1.211,100.2,60,100,90,30,1.4429999999999998,365.18999999999994,339.95,274.2237783756437,294.56837217593034,329.90999999999997
74.1,1.086,80.7,60,80,90,90,1.263,365.54999999999995,333.67499999999995,276.3233263305245,286.9094512971993,354.48999999999995
72.2,1.064,77.0,60,80,90,0,1.293,361.40999999999997,342.04999999999995,274.62241298554443,291.6389155982713,347.77
64.0,0.943,60.5,60,60,90,30,0.6929999999999998,349.96999999999997,312.79999999999995,274.65233152133607,278.10412286215563,349.99
64.4,0.951,61.3,60,60,90,30,0.4129999999999999,339.89,305.47499999999997,273.4466479394838,274.5814910641239,349.99
51.2,0.755,38.7,60,40,90,30,0.45299999999999985,336.33,304.65,273.4274887385102,274.361060141639,322.60999999999996
51.2,0.756,38.8,60,40,90,30,0.46299999999999986,338.27,304.72499999999997,273.46144823004795,274.33988794990677,322.60999999999996
74.0,1.093,81.0,60,80,90,90,0.3929999999999999,318.51,304.75,276.0462044126753,273.9664965809277,354.48999999999995
90.1,1.328,120.1,60,120,90,0,0.8029999999999999,353.59,304.275,273.8936396977031,274.5073871960498,0.0
73.1,1.08,79.0,60,80,90,30,0.35299999999999987,326.39,302.625,273.70946402922795,274.5389444433334,354.84999999999997
89.9,1.32,118.8,60,120,90,60,1.053,355.49,339.2,274.11591925128346,291.61483143708597,357.07
82.9,1.217,101.0,60,100,90,0,1.803,369.78999999999996,357.875,275.0521040980977,287.4392442067451,371.28999999999996
74.2,1.087,80.8,60,80,90,90,1.263,366.46999999999997,334.47499999999997,275.76858740545356,286.54188186925194,354.48999999999995
52.1,0.777,40.6,60,40,90,0,0.43299999999999994,315.69,305.67499999999995,273.54115214431215,274.5073871960498,340.30999999999995
52.1,0.77,40.2,60,40,90,60,0.7029999999999998,350.45,307.04999999999995,273.48911649915624,277.3101282031527,349.57
72.3,1.066,77.2,60,80,90,0,1.1629999999999998,358.66999999999996,325.4,274.32770964163495,285.8948028623435,347.77
89.7,1.319,118.4,60,120,90,0,1.4529999999999998,362.96999999999997,343.29999999999995,274.74749804381725,281.265212053093,0.0
52.9,0.784,41.6,60,40,90,0,0.6829999999999998,350.01,306.22499999999997,273.4466479394838,274.5556433876817,340.30999999999995
62.6,0.924,58.0,60,60,90,0,1.3929999999999998,363.72999999999996,321.9,274.05388052307813,277.6537021807989,0.0
90.4,1.328,120.1,60,120,90,0,1.9129999999999998,369.16999999999996,362.625,274.88118456555037,282.82587205372204,0.0
72.2,1.063,77.0,60,80,90,0,1.343,361.90999999999997,343.84999999999997,274.4160963628413,292.4512952933216,347.77
74.1,1.085,80.4,60,80,90,90,1.1929999999999998,366.63,333.42499999999995,275.31956216781174,285.3104207712288,354.48999999999995
52.0,0.767,40.0,60,40,90,90,0.5529999999999999,354.09,305.125,273.5146916505762,274.33988794990677,353.92999999999995
82.8,1.218,101.0,60,100,90,0,1.253,360.80999999999995,342.42499999999995,273.906967634711,282.64925435670256,371.28999999999996
63.5,0.936,59.5,60,60,90,90,0.7329999999999999,356.71,304.875,273.63270073544584,274.1035023160258,306.53
72.8,1.069,78.1,60,80,90,30,0.8529999999999999,352.95,325.84999999999997,274.14247166206394,286.120993279879,354.84999999999997
90.5,1.325,120.0,60,120,90,60,1.7329999999999999,367.84999999999997,352.95,274.06378334412483,287.7083881891735,357.07
74.1,1.091,81.0,60,80,90,90,0.47299999999999986,333.33,305.17499999999995,274.2325894882179,274.1035023160258,354.48999999999995
52.2,0.772,40.3,60,40,90,90,0.4929999999999999,340.83,304.575,273.3780350850198,274.3028949070347,353.92999999999995
63.0,0.93,58.8,60,60,90,0,1.3729999999999998,363.46999999999997,312.65,274.0427485648266,277.9921758194707,0.0
64.2,0.948,61.1,60,60,90,30,0.45299999999999985,349.28999999999996,305.575,273.5777849927241,274.6385675440951,349.99
82.7,1.219,100.9,60,100,90,0,0.8529999999999999,352.54999999999995,311.325,274.6077379737113,279.43934283795477,371.28999999999996
81.6,1.198,97.9,60,100,90,60,1.013,356.57,332.0,274.9985129158326,293.1475831873087,339.42999999999995
74.1,1.084,80.4,60,80,90,90,1.003,366.89,330.97499999999997,277.4816278695197,279.17570881031156,354.48999999999995
74.2,1.086,80.7,60,80,90,90,0.8829999999999999,370.40999999999997,312.54999999999995,274.836119805945,276.8115115275889,354.48999999999995
63.0,0.934,58.9,60,60,90,0,0.9229999999999999,342.49,306.17499999999995,273.547492138287,274.5073871960498,0.0
52.5,0.778,40.9,60,40,90,90,0.44299999999999995,333.01,304.2,273.34493588689617,274.19083299973306,353.92999999999995
63.0,0.933,58.9,60,60,90,0,0.9829999999999999,349.66999999999996,306.375,273.55865633483404,274.51717470232103,0.0
63.8,0.948,60.6,60,60,90,30,0.31299999999999994,315.83,305.825,273.39899799195973,274.48010024684856,349.99
63.9,0.947,60.7,60,60,90,30,0.31299999999999994,320.46999999999997,305.625,273.5201351104664,274.54373598647663,349.99
52.4,0.775,40.7,60,40,90,60,0.5329999999999999,339.90999999999997,304.45,273.4201851217221,274.35277457017787,349.57
72.4,1.068,77.3,60,80,90,0,0.9129999999999999,354.06999999999994,315.34999999999997,274.65731549451334,288.1061581519676,347.77
50.7,0.748,38.0,60,40,90,30,0.5429999999999999,349.59,305.25,273.50777087639995,274.48915396177335,322.60999999999996
74.3,1.088,81.0,60,80,90,90,1.273,364.61,333.95,274.78493119121265,286.7360222287467,354.48999999999995
82.7,1.219,100.9,60,100,90,0,0.8629999999999999,352.51,312.75,274.7633815419794,280.7196763471102,371.28999999999996
62.9,0.93,58.6,60,60,90,0,1.273,361.96999999999997,308.375,273.8072670690062,275.15395442396607,0.0
52.3,0.776,40.7,60,40,90,90,0.3829999999999999,321.84999999999997,303.5,273.34999999999997,273.9846656017032,353.92999999999995
72.3,1.062,77.0,60,80,90,30,0.8629999999999999,354.40999999999997,328.92499999999995,274.8405620367203,287.6175210961196,354.84999999999997
83.5,1.224,102.1,60,100,90,30,1.4929999999999999,365.03,348.22499999999997,274.00264294989165,288.9422713164805,329.90999999999997
62.6,0.925,58.2,60,60,90,0,1.3929999999999998,363.89,322.67499999999995,274.17859126964987,277.8894619947838,0.0
