voltage,current,power,FR[%],Q[W],alpha,beta,P[bar],Te_mean[K],Tc_mean[K],Te_std[K],Tc_std[K],T_pulse[K],TR_train[K/W]
64.5,0.946,61,60,60,90,0,0.863,354.01,318.175,273.5893177,278.3374046,337.87,0.5972500000000006
52.9,0.784,41.5,60,40,90,0,0.673,349.97,307.7,274.1023655,275.9742993,322.31,1.0567499999999996
52,0.775,40.3,60,40,90,0,0.443,321.43,305.675,273.4614482,274.5073872,322.31,0.39387499999999986
83.9,1.233,103.4,60,100,90,0,1.733,367.51,363,274.1028903,283.2023629,371.29,0.04509999999999991
83.3,1.221,101.8,60,100,30,0,1.333,367.03,340.225,276.4782127,288.4969595,338.17,0.26805000000000007
52,0.773,40.3,60,40,90,0,0.543,341.45,305.825,273.4415476,274.4026638,322.31,0.890625
53.4,0.788,42.1,60,40,30,0,0.793,353.05,304.85,273.8392024,274.489154,0,1.2049999999999996
73.7,1.083,79.9,60,80,30,0,1.153,357.99,324.325,274.1858571,294.1093853,335.47,0.42081250000000026
52.3,0.772,40.5,60,40,60,0,0.813,355.07,305.225,273.4920526,274.8653717,352.47,1.2461249999999993
90.2,1.327,119.8,60,120,90,0,1.513,363.83,346.625,273.9967585,280.1201148,0,0.14337499999999986
63.5,0.936,59.5,60,60,60,0,1.133,358.43,315.575,273.8297058,279.4931722,342.29,0.7142499999999994
63.2,0.932,59,60,60,60,0,0.943,354.61,321.125,274.3174759,283.1551237,342.29,0.5580833333333336
63.5,0.935,59.5,60,60,60,0,1.133,358.45,315.7,273.8535624,279.526258,342.29,0.7125
52.1,0.777,40.6,60,40,30,0,0.383,307.15,303.05,273.4328427,274.025595,0,0.10250000000000056
53.5,0.79,42.4,60,40,30,0,0.803,354.33,304.925,273.7558052,274.4775918,0,1.2351250000000007
81.8,1.203,98.5,60,100,0,0,0.543,360.85,302.55,273.6136809,274.4435739,363.55,0.5830000000000001
63.6,0.943,60.1,60,60,30,0,0.383,308.95,303.225,276.9003333,273.8051081,351.05,0.09541666666666705
90,1.323,119.3,60,120,90,0,1.623,366.09,350.725,274.0405055,282.9392373,0,0.12804166666666675
83.4,1.228,102.6,60,100,30,0,0.483,348.23,307.025,276.6517139,276.623111,338.17,0.41204999999999986
73.6,1.08,79.6,60,80,60,0,1.513,365.51,343.2,274.1055103,282.1716406,371.51,0.27887500000000004
84,1.234,103.7,60,100,90,0,1.783,368.35,363.2,274.0692388,283.1554985,371.29,0.051500000000000344
63.9,0.944,60.4,60,60,90,0,0.463,325.41,306.25,273.6060702,274.3583046,337.87,0.3193333333333328
83.8,1.231,103.5,60,100,90,0,1.653,367.65,360.45,274.3161904,283.3604522,371.29,0.07199999999999988
90.3,1.326,120.2,60,120,90,0,2.003,370.81,363.5,273.8155825,282.7432268,0,0.06091666666666621
52.3,0.777,40.8,60,40,30,0,0.443,313.91,303.425,274.1882678,274.0751126,0,0.26212500000000033
63.9,0.942,60.2,60,60,0,0,0.733,346.83,304.1,273.5586563,274.5223459,352.85,0.712166666666667
63.2,0.938,59.4,60,60,60,0,0.543,326.55,303.2,273.6243416,274.5296135,342.29,0.3891666666666661
91.2,1.334,122.2,60,120,60,0,2.093,371.61,361.075,273.9329432,287.2636754,333.65,0.08779166666666688
89.6,1.312,117.8,60,120,30,0,1.483,373.69,340.275,275.6535974,294.8955551,0,0.27845833333333303
89.7,1.321,119,60,120,90,0,1.043,356.29,324.775,274.9687908,287.3023555,0,0.2626249999999999
89.7,1.32,118.8,60,120,90,0,1.443,363.71,336.1,273.9943933,275.8462938,0,0.23008333333333345
63.8,0.939,60.1,60,60,0,0,0.853,353.39,304.15,273.5007136,274.5665686,352.85,0.8206666666666668
52.1,0.768,40.1,60,40,0,0,0.723,348.49,303.7,273.4935113,274.5223459,353.75,1.1197500000000005
82.2,1.215,100.1,60,100,0,0,0.473,334.47,301.675,274.7380806,274.1742884,363.55,0.3279500000000002
73.4,1.087,80,60,80,0,0,0.423,314.69,302.625,273.7768971,274.2126225,327.27,0.15081249999999996
90.8,1.327,120.7,60,120,60,0,2.353,375.43,369.4,274.2756109,286.0946257,333.65,0.050249999999999774
82.4,1.214,100.1,60,100,90,0,1.103,358.51,336.925,274.1262172,283.9676938,371.29,0.21585000000000037
63.3,0.932,59.3,60,60,30,0,1.053,362.51,312.475,276.4549962,274.6160036,351.05,0.8339166666666671
53.4,0.789,42.2,60,40,30,0,0.803,353.51,304.8,273.9518728,274.4602163,0,1.217750000000001
73.2,1.084,79.5,60,80,60,0,0.633,311.39,304.725,273.6222288,274.0751126,371.51,0.08331250000000026
72.4,1.065,77.3,60,80,90,0,1.463,363.57,344.775,273.9636338,289.9167081,314.55,0.2349374999999995
52.2,0.777,40.7,60,40,30,0,0.383,307.55,303.125,273.4328427,274.0039126,0,0.11062499999999886
73.4,1.086,79.8,60,80,0,0,0.443,318.71,302.75,273.7139149,274.2239336,327.27,0.19949999999999973
82,1.212,99.7,60,100,60,0,0.643,335.49,305.225,273.748331,274.4801002,362.37,0.30264999999999986
63.3,0.933,59.2,60,60,60,0,1.033,356.19,322.325,273.8834848,282.5316754,342.29,0.5644166666666668
91,1.331,121.3,60,120,60,0,2.343,375.43,367.875,274.1973777,284.245457,333.65,0.06295833333333292
90.2,1.325,119.6,60,120,30,0,0.913,354.55,317.825,275.5572806,280.7431438,0,0.3060416666666664
82.6,1.211,100.2,60,100,30,0,1.223,363.69,338.825,275.3232464,291.2046162,338.17,0.2486500000000001
90,1.333,119.9,60,120,90,0,0.633,330.91,304.2,273.9549845,274.5296135,0,0.22258333333333316
90.7,1.326,120.6,60,120,60,0,2.253,374.81,368,274.1338699,286.1478203,333.65,0.056749999999999544
90.4,1.327,119.9,60,120,90,0,2.023,371.35,362.225,273.9955767,284.6751537,0,0.07604166666666666
90,1.331,119.3,60,120,30,0,0.343,309.69,303.025,273.3573644,273.7409033,0,0.055541666666666836
64.3,0.943,60.8,60,60,90,0,0.913,354.99,318.725,273.7524948,277.6889977,337.87,0.6044166666666665
90.5,1.33,120.5,60,120,90,0,1.853,369.59,354.8,274.271606,287.7496575,0,0.12325000000000016
90,1.317,118.7,60,120,30,0,1.403,372.27,339.25,274.2554411,293.5321818,0,0.2751666666666665
82.5,1.213,100.1,60,100,90,0,1.513,363.89,354.925,275.1731164,287.9063263,371.29,0.08965000000000031
81.1,1.191,96.5,60,100,60,0,1.383,363.07,342.35,274.3277096,280.2139932,362.37,0.20719999999999972
63.2,0.938,59.5,60,60,60,0,0.523,320.53,303.3,273.7174504,274.5296135,342.29,0.28716666666666696
72.4,1.066,77.3,60,80,90,0,1.493,363.39,344.3,274.0843447,289.7336265,314.55,0.2386250000000004
83.2,1.222,101.8,60,100,30,0,0.883,354.15,322.6,273.867635,278.314946,338.17,0.3155000000000001
63.2,0.937,59.4,60,60,30,0,0.473,315.21,303.6,273.709464,273.9267453,351.05,0.19350000000000023
82.7,1.228,101.5,60,100,60,0,0.573,313.47,305.225,273.7218391,274.4725606,362.37,0.08245000000000005
51.8,0.771,40,60,40,60,0,0.523,313.97,304.5,273.5586563,274.5296135,352.47,0.23674999999999927
82.6,1.212,100.3,60,100,30,0,1.063,361.43,334.925,275.922544,291.2420563,338.17,0.26504999999999995
82.2,1.215,100,60,100,0,0,0.463,333.27,301.6,274.7254364,274.1972185,363.55,0.31670000000000015
71.5,1.053,75.7,60,80,90,0,1.483,364.51,341.225,273.7808724,289.2124562,314.55,0.29106250000000033
83.7,1.23,103,60,100,90,0,1.763,368.37,362.975,274.293241,282.8911071,371.29,0.05395000000000039
52,0.773,40.3,60,40,0,0,0.443,311.67,303.975,273.5268289,274.6430394,353.75,0.19237499999999982
90.3,1.324,119.5,60,120,60,0,0.893,353.51,305.275,273.9135444,274.1104686,333.65,0.4019583333333335
90,1.322,119.1,60,120,0,0,0.983,352.47,301.525,274.0511104,274.1412114,344.51,0.4245416666666666
83.4,1.227,102.5,60,100,30,0,0.543,349.73,311.15,277.6927965,283.9974267,338.17,0.3858000000000004
52.7,0.782,41.3,60,40,30,0,0.573,333.91,304.25,274.0405055,274.3527746,0,0.7414999999999992
90,1.322,119.1,60,120,0,0,0.863,341.73,301.375,274.2486355,274.1035023,344.51,0.3362916666666663
90,1.311,118.2,60,120,0,0,1.293,396.63,310.475,281.9745113,281.258586,344.51,0.7179583333333336
81.9,1.202,98.5,60,100,0,0,0.533,365.49,302.6,273.6628353,274.3458261,363.55,0.6289000000000005
63.8,0.941,60.2,60,60,0,0,0.723,346.59,304.075,273.5411521,274.5073872,352.85,0.7085833333333331
81.9,1.213,99.7,60,100,60,0,0.623,327.13,305.15,273.8478539,274.4306248,362.37,0.2198000000000002
63.6,0.944,60.1,60,60,30,0,0.383,308.57,303.225,276.9979865,273.8051081,351.05,0.08908333333333379
73.7,1.079,79.7,60,80,60,0,1.273,361.23,333.25,273.9096052,286.0172711,371.51,0.3497499999999995
73.7,1.086,80.1,60,80,0,0,0.543,336.25,303,273.65,274.3233144,327.27,0.415625
73.4,1.086,79.9,60,80,0,0,0.443,317.61,302.675,273.7688699,274.2465856,327.27,0.18668750000000003
63.2,0.937,59.4,60,60,30,0,0.483,316.01,303.675,273.6676872,273.9761356,351.05,0.20558333333333395
53.5,0.793,42.5,60,40,90,0,0.703,351.73,311.95,274.9463853,280.1266276,322.31,0.9945000000000007
90.3,1.326,120,60,120,90,0,1.963,370.39,362.95,273.7004544,282.4153476,0,0.06199999999999998
72.4,1.067,77.2,60,80,90,0,0.933,353.73,315.425,274.9685159,288.6607221,314.55,0.4788125000000001
64,0.939,60.1,60,60,90,0,0.843,353.69,314.75,273.6912947,277.4075423,337.87,0.6489999999999999
72.1,1.061,76.8,60,80,90,0,1.503,364.13,347.125,274.1805338,288.0872856,314.55,0.21256249999999993
52.1,0.777,40.6,60,40,90,0,0.463,325.27,305.65,273.453315,274.4866625,322.31,0.4905000000000001
89.9,1.316,118.5,60,120,0,0,1.333,374.61,302.125,273.9549845,274.2031698,344.51,0.6040416666666668
63.8,0.943,60.3,60,60,90,0,0.423,314.41,305.9,273.7965292,274.3233144,337.87,0.14183333333333317
90,1.322,118.9,60,120,90,0,1.933,369.97,365.4,274.0811283,282.3051443,0,0.038083333333333275
72,1.06,76.4,60,80,90,0,1.593,365.51,349.75,274.0896808,292.3779311,314.55,0.1969999999999999
73.7,1.079,79.7,60,80,60,0,1.303,361.37,333.325,273.8793833,286.1303377,371.51,0.3505625000000002
