TIME,DATE,TC_1,TC_2,TC_3,TC_4,TC_5,TC_6,TC_7,TC_8,TC_9,PRESSURE,HEATER,HEATER SET POINT,date,voltage,current,power,WF,FR[%],Q[W],alpha,beta,pulse,Te_mean[C],Tc_mean[C],Te_std[C],Tc_std[C],P[bar],Te_mean[K],Tc_mean[K],Te_std[K],Tc_std[K],T_pulse[K],TR[K/W],GFE_Te[KJ/mol],GFE_Tc[KJ/mol],dG[KJ/mol]
15:06:46,24/10/2024,31.5,32.4,31.7,31.6,31.5,30.5,30.2,30.3,29.0,-0.67,39,170,2024-10-24 15:06:46,63.6,0.94,60.2,DI water,60,60,30,0,15:39:21,31.74,30.0,0.38,0.68,0.34,304.89,303.15,273.53,273.83,351.05,0.03,-2745.1,-2729.43,-15.67
15:06:49,24/10/2024,31.5,32.4,31.7,31.6,31.5,30.5,30.2,30.3,29.0,-0.67,39,170,2024-10-24 15:06:49,63.6,0.94,60.2,DI water,60,60,30,0,15:39:21,31.74,30.0,0.38,0.68,0.34,304.89,303.15,273.53,273.83,351.05,0.03,-2745.1,-2729.43,-15.67
15:06:51,24/10/2024,31.5,32.4,31.7,31.6,31.5,30.5,30.2,30.3,29.0,-0.67,39,170,2024-10-24 15:06:51,63.6,0.94,60.2,DI water,60,60,30,0,15:39:21,31.74,30.0,0.38,0.68,0.34,304.89,303.15,273.53,273.83,351.05,0.03,-2745.1,-2729.43,-15.67
15:06:55,24/10/2024,31.5,32.4,31.7,31.6,31.5,30.5,30.2,30.3,29.0,-0.67,39,170,2024-10-24 15:06:55,63.6,0.94,60.2,DI water,60,60,30,0,15:39:21,31.74,30.0,0.38,0.68,0.34,304.89,303.15,273.53,273.83,351.05,0.03,-2745.1,-2729.43,-15.67
15:06:58,24/10/2024,32.0,32.8,32.2,32.1,31.9,30.5,30.2,30.3,28.9,-0.67,40,170,2024-10-24 15:06:58,63.6,0.94,60.2,DI water,60,60,30,0,15:39:21,32.2,29.98,0.35,0.73,0.34,305.35,303.12,273.5,273.88,351.05,0.04,-2749.24,-2729.21,-20.03
15:07:03,24/10/2024,32.0,32.8,32.2,32.1,31.9,30.5,30.2,30.3,28.9,-0.67,40,170,2024-10-24 15:07:03,63.6,0.94,60.2,DI water,60,60,30,0,15:39:21,32.2,29.98,0.35,0.73,0.34,305.35,303.12,273.5,273.88,351.05,0.04,-2749.24,-2729.21,-20.03
15:07:04,24/10/2024,32.4,33.2,32.4,32.4,32.2,30.5,30.2,30.3,28.9,-0.67,40,170,2024-10-24 15:07:04,63.6,0.94,60.2,DI water,60,60,30,0,15:39:21,32.52,29.98,0.39,0.73,0.34,305.67,303.12,273.54,273.88,351.05,0.04,-2752.12,-2729.21,-22.91
15:07:05,24/10/2024,32.4,33.2,32.4,32.4,32.2,30.4,30.3,30.4,29.0,-0.67,40,170,2024-10-24 15:07:05,63.6,0.94,60.1,DI water,60,60,30,0,15:39:21,32.52,30.02,0.39,0.68,0.34,305.67,303.17,273.54,273.83,351.05,0.04,-2752.12,-2729.66,-22.46
15:07:06,24/10/2024,32.4,33.2,32.4,32.4,32.2,30.4,30.3,30.4,29.0,-0.65,41,170,2024-10-24 15:07:06,63.6,0.94,60.2,DI water,60,60,30,0,15:39:21,32.52,30.02,0.39,0.68,0.36,305.67,303.17,273.54,273.83,351.05,0.04,-2608.1,-2586.81,-21.29
15:07:10,24/10/2024,32.4,33.2,32.4,32.4,32.2,30.4,30.3,30.4,29.0,-0.65,41,170,2024-10-24 15:07:10,63.6,0.94,60.2,DI water,60,60,30,0,15:39:21,32.52,30.02,0.39,0.68,0.36,305.67,303.17,273.54,273.83,351.05,0.04,-2608.1,-2586.81,-21.29
15:07:11,24/10/2024,32.7,33.4,32.7,32.4,32.2,30.4,30.3,30.4,29.0,-0.65,41,170,2024-10-24 15:07:11,63.6,0.94,60.2,DI water,60,60,30,0,15:39:21,32.68,30.02,0.45,0.68,0.36,305.83,303.17,273.6,273.83,351.05,0.04,-2609.46,-2586.81,-22.65
15:07:12,24/10/2024,32.7,33.4,32.7,32.6,32.5,30.5,30.3,30.4,29.0,-0.65,41,170,2024-10-24 15:07:12,63.6,0.94,60.2,DI water,60,60,30,0,15:39:21,32.78,30.05,0.36,0.7,0.36,305.93,303.2,273.51,273.85,351.05,0.05,-2610.32,-2587.02,-23.29
15:07:21,24/10/2024,32.7,33.4,32.7,32.6,32.5,30.5,30.3,30.4,29.0,-0.65,41,170,2024-10-24 15:07:21,63.6,0.94,60.3,DI water,60,60,30,0,15:39:21,32.78,30.05,0.36,0.7,0.36,305.93,303.2,273.51,273.85,351.05,0.05,-2610.32,-2587.02,-23.29
15:07:22,24/10/2024,32.7,33.4,32.7,32.6,32.5,30.5,30.3,30.4,29.0,-0.65,41,170,2024-10-24 15:07:22,63.6,0.94,60.2,DI water,60,60,30,0,15:39:21,32.78,30.05,0.36,0.7,0.36,305.93,303.2,273.51,273.85,351.05,0.05,-2610.32,-2587.02,-23.29
15:07:23,24/10/2024,33.2,34.0,33.2,33.1,32.9,30.5,30.3,30.4,29.0,-0.65,41,170,2024-10-24 15:07:23,63.6,0.94,60.3,DI water,60,60,30,0,15:39:21,33.28,30.05,0.42,0.7,0.36,306.43,303.2,273.57,273.85,351.05,0.05,-2614.58,-2587.02,-27.56
15:07:24,24/10/2024,33.2,34.0,33.2,33.1,32.9,30.5,30.2,30.4,29.1,-0.65,41,170,2024-10-24 15:07:24,63.6,0.94,60.3,DI water,60,60,30,0,15:39:21,33.28,30.05,0.42,0.65,0.36,306.43,303.2,273.57,273.8,351.05,0.05,-2614.58,-2587.02,-27.56
15:07:26,24/10/2024,33.2,34.0,33.2,33.1,32.9,30.5,30.2,30.4,29.1,-0.64,42,170,2024-10-24 15:07:26,63.6,0.94,60.2,DI water,60,60,30,0,15:39:21,33.28,30.05,0.42,0.65,0.37,306.43,303.2,273.57,273.8,351.05,0.05,-2545.35,-2518.52,-26.83
15:07:26,24/10/2024,33.2,34.0,33.2,33.1,32.9,30.5,30.2,30.4,29.1,-0.64,42,170,2024-10-24 15:07:26,63.6,0.94,60.2,DI water,60,60,30,0,15:39:21,33.28,30.05,0.42,0.65,0.37,306.43,303.2,273.57,273.8,351.05,0.05,-2545.35,-2518.52,-26.83
15:07:27,24/10/2024,33.2,34.0,33.2,33.1,32.9,30.5,30.2,30.4,29.1,-0.64,42,170,2024-10-24 15:07:27,63.6,0.94,60.2,DI water,60,60,30,0,15:39:21,33.28,30.05,0.42,0.65,0.37,306.43,303.2,273.57,273.8,351.05,0.05,-2545.35,-2518.52,-26.83
