TIME,DATE,TC_1,TC_2,TC_3,TC_4,TC_5,TC_6,TC_7,TC_8,TC_9,PRESSURE,HEATER,HEATER SET POINT,date,voltage,current,power,WF,FR[%],Q[W],alpha,beta,pulse,Te_mean[C],Tc_mean[C],Te_std[C],Tc_std[C],P[bar],Te_mean[K],Tc_mean[K],Te_std[K],Tc_std[K],T_pulse[K],TR[K/W],GFE_Te[KJ/mol],GFE_Tc[KJ/mol],dG[KJ/mol]
19:02:43,27/03/2025,34.1,34.8,33.9,34.1,34.5,31.8,31.4,31.5,28.6,-0.59,38,170,2025-03-27 19:02:43,50.6,0.75,36.0,DI water,60,40,0,0,19:52:00,34.28,30.83,0.36,1.49,0.42,307.43,303.97,273.51,274.64,353.75,0.09,-2232.13,-2207.04,-25.09
19:02:44,27/03/2025,34.1,34.8,33.9,34.1,34.5,31.8,31.4,31.5,28.6,-0.59,38,170,2025-03-27 19:02:44,52.0,0.77,40.3,DI water,60,40,0,0,19:52:00,34.28,30.83,0.36,1.49,0.42,307.43,303.97,273.51,274.64,353.75,0.09,-2232.13,-2207.04,-25.09
19:02:46,27/03/2025,34.1,34.8,33.9,34.1,34.5,31.8,31.4,31.5,28.6,-0.59,38,170,2025-03-27 19:02:46,52.0,0.77,40.3,DI water,60,40,0,0,19:52:00,34.28,30.83,0.36,1.49,0.42,307.43,303.97,273.51,274.64,353.75,0.09,-2232.13,-2207.04,-25.09
19:02:50,27/03/2025,34.1,34.8,33.9,34.1,34.5,31.8,31.4,31.5,28.6,-0.59,38,170,2025-03-27 19:02:50,52.0,0.77,40.3,DI water,60,40,0,0,19:52:00,34.28,30.83,0.36,1.49,0.42,307.43,303.97,273.51,274.64,353.75,0.09,-2232.13,-2207.04,-25.09
19:02:53,27/03/2025,34.1,34.8,33.9,34.1,34.5,31.8,31.4,31.5,28.6,-0.58,39,170,2025-03-27 19:02:53,52.0,0.77,40.3,DI water,60,40,0,0,19:52:00,34.28,30.83,0.36,1.49,0.43,307.43,303.97,273.51,274.64,353.75,0.09,-2172.41,-2147.99,-24.41
19:02:56,27/03/2025,34.1,34.8,33.9,34.1,34.5,31.8,31.4,31.5,28.6,-0.58,39,170,2025-03-27 19:02:56,52.0,0.77,40.3,DI water,60,40,0,0,19:52:00,34.28,30.83,0.36,1.49,0.43,307.43,303.97,273.51,274.64,353.75,0.09,-2172.41,-2147.99,-24.41
19:03:02,27/03/2025,34.1,34.8,33.9,34.1,34.5,31.8,31.4,31.5,28.6,-0.58,39,170,2025-03-27 19:03:02,52.0,0.77,40.4,DI water,60,40,0,0,19:52:00,34.28,30.83,0.36,1.49,0.43,307.43,303.97,273.51,274.64,353.75,0.09,-2172.41,-2147.99,-24.41
19:03:02,27/03/2025,34.1,34.8,33.9,34.1,34.5,31.8,31.4,31.5,28.6,-0.58,39,170,2025-03-27 19:03:02,52.0,0.77,40.3,DI water,60,40,0,0,19:52:00,34.28,30.83,0.36,1.49,0.43,307.43,303.97,273.51,274.64,353.75,0.09,-2172.41,-2147.99,-24.41
19:03:04,27/03/2025,34.2,34.9,34.0,34.2,34.5,31.8,31.4,31.5,28.6,-0.57,39,170,2025-03-27 19:03:04,52.0,0.77,40.3,DI water,60,40,0,0,19:52:00,34.36,30.83,0.35,1.49,0.44,307.51,303.97,273.5,274.64,353.75,0.09,-2114.6,-2090.29,-24.31
19:03:08,27/03/2025,34.2,34.9,34.0,34.2,34.5,31.8,31.4,31.5,28.6,-0.57,39,170,2025-03-27 19:03:08,52.0,0.77,40.3,DI water,60,40,0,0,19:52:00,34.36,30.83,0.35,1.49,0.44,307.51,303.97,273.5,274.64,353.75,0.09,-2114.6,-2090.29,-24.31
19:03:08,27/03/2025,34.2,34.9,34.0,34.2,34.5,31.8,31.4,31.5,28.6,-0.57,39,170,2025-03-27 19:03:08,52.0,0.77,40.4,DI water,60,40,0,0,19:52:00,34.36,30.83,0.35,1.49,0.44,307.51,303.97,273.5,274.64,353.75,0.09,-2114.6,-2090.29,-24.31
19:03:09,27/03/2025,34.3,34.9,34.2,34.3,34.5,31.8,31.4,31.5,28.6,-0.57,39,170,2025-03-27 19:03:09,52.0,0.77,40.4,DI water,60,40,0,0,19:52:00,34.44,30.83,0.28,1.49,0.44,307.59,303.97,273.43,274.64,353.75,0.09,-2115.15,-2090.29,-24.86
19:03:11,27/03/2025,34.3,34.9,34.2,34.3,34.6,31.8,31.4,31.5,28.6,-0.58,39,170,2025-03-27 19:03:11,52.0,0.78,40.4,DI water,60,40,0,0,19:52:00,34.46,30.83,0.29,1.49,0.43,307.61,303.97,273.44,274.64,353.75,0.09,-2173.68,-2147.99,-25.69
19:03:13,27/03/2025,34.3,34.9,34.2,34.3,34.6,31.8,31.4,31.5,28.6,-0.58,39,170,2025-03-27 19:03:13,52.0,0.77,40.4,DI water,60,40,0,0,19:52:00,34.46,30.83,0.29,1.49,0.43,307.61,303.97,273.44,274.64,353.75,0.09,-2173.68,-2147.99,-25.69
19:03:15,27/03/2025,34.4,35.1,34.2,34.4,34.6,31.8,31.4,31.5,28.6,-0.58,39,170,2025-03-27 19:03:15,52.0,0.78,40.4,DI water,60,40,0,0,19:52:00,34.54,30.83,0.34,1.49,0.43,307.69,303.97,273.49,274.64,353.75,0.09,-2174.25,-2147.99,-26.25
19:03:16,27/03/2025,34.4,35.1,34.2,34.4,34.6,31.8,31.4,31.5,28.6,-0.58,39,170,2025-03-27 19:03:16,52.0,0.78,40.4,DI water,60,40,0,0,19:52:00,34.54,30.83,0.34,1.49,0.43,307.69,303.97,273.49,274.64,353.75,0.09,-2174.25,-2147.99,-26.25
19:03:18,27/03/2025,34.4,35.1,34.2,34.4,34.6,31.8,31.4,31.5,28.6,-0.58,39,170,2025-03-27 19:03:18,52.0,0.77,40.3,DI water,60,40,0,0,19:52:00,34.54,30.83,0.34,1.49,0.43,307.69,303.97,273.49,274.64,353.75,0.09,-2174.25,-2147.99,-26.25
19:03:19,27/03/2025,34.4,35.1,34.2,34.4,34.6,31.8,31.4,31.5,28.6,-0.58,39,170,2025-03-27 19:03:19,52.0,0.77,40.3,DI water,60,40,0,0,19:52:00,34.54,30.83,0.34,1.49,0.43,307.69,303.97,273.49,274.64,353.75,0.09,-2174.25,-2147.99,-26.25
19:03:21,27/03/2025,34.5,35.2,34.3,34.5,34.7,31.8,31.4,31.5,28.7,-0.58,39,170,2025-03-27 19:03:21,52.1,0.78,40.4,DI water,60,40,0,0,19:52:00,34.64,30.85,0.34,1.44,0.43,307.79,304.0,273.49,274.59,353.75,0.09,-2174.95,-2148.17,-26.78
19:03:23,27/03/2025,34.5,35.2,34.3,34.5,34.7,31.8,31.4,31.5,28.7,-0.58,40,170,2025-03-27 19:03:23,52.0,0.78,40.4,DI water,60,40,0,0,19:52:00,34.64,30.85,0.34,1.44,0.43,307.79,304.0,273.49,274.59,353.75,0.09,-2174.95,-2148.17,-26.78
19:03:26,27/03/2025,34.5,35.2,34.3,34.5,34.7,31.8,31.4,31.5,28.7,-0.58,40,170,2025-03-27 19:03:26,52.0,0.77,40.4,DI water,60,40,0,0,19:52:00,34.64,30.85,0.34,1.44,0.43,307.79,304.0,273.49,274.59,353.75,0.09,-2174.95,-2148.17,-26.78
19:03:27,27/03/2025,34.6,35.3,34.4,34.6,34.8,31.8,31.4,31.5,28.7,-0.58,40,170,2025-03-27 19:03:27,52.0,0.77,40.4,DI water,60,40,0,0,19:52:00,34.74,30.85,0.34,1.44,0.43,307.89,304.0,273.49,274.59,353.75,0.1,-2175.66,-2148.17,-27.49
19:03:29,27/03/2025,34.6,35.3,34.4,34.6,34.8,31.8,31.3,31.5,28.7,-0.58,40,170,2025-03-27 19:03:29,52.0,0.77,40.4,DI water,60,40,0,0,19:52:00,34.74,30.82,0.34,1.43,0.43,307.89,303.97,273.49,274.58,353.75,0.1,-2175.66,-2147.99,-27.66
19:03:30,27/03/2025,34.6,35.3,34.4,34.6,34.8,31.8,31.3,31.5,28.7,-0.58,40,170,2025-03-27 19:03:30,52.1,0.78,40.4,DI water,60,40,0,0,19:52:00,34.74,30.82,0.34,1.43,0.43,307.89,303.97,273.49,274.58,353.75,0.1,-2175.66,-2147.99,-27.66
19:03:33,27/03/2025,34.6,35.3,34.4,34.6,34.8,31.8,31.3,31.5,28.7,-0.58,40,170,2025-03-27 19:03:33,52.0,0.77,40.3,DI water,60,40,0,0,19:52:00,34.74,30.82,0.34,1.43,0.43,307.89,303.97,273.49,274.58,353.75,0.1,-2175.66,-2147.99,-27.66
