Q[W],alpha,beta,TR_mean,TR_std,n,uc,U95,CV_%
40,0,0,1.17416,0.07773,558,0.00329,0.00658,6.61966
40,30,0,1.17416,0.08822,642,0.00348,0.00696,7.51319
40,60,0,1.15326,0.07536,691,0.00287,0.00573,6.53469
40,90,0,1.03286,0.03286,912,0.00109,0.00218,3.18105
60,0,0,0.87162,0.08808,631,0.00351,0.00701,10.10532
60,30,0,0.80078,0.05071,1057,0.00156,0.00312,6.33267
60,60,0,0.65521,0.06972,1175,0.00203,0.00407,10.64075
60,90,0,0.7689,0.08859,1297,0.00246,0.00492,11.52196
80,0,0,0.65476,0.07459,307,0.00426,0.00851,11.39195
80,30,0,0.40297,0.0977,1195,0.00283,0.00565,24.24374
80,60,0,0.39574,0.11476,1174,0.00335,0.0067,28.99807
80,90,0,0.30262,0.11539,2129,0.0025,0.005,38.13061
100,0,0,0.52835,0.05766,279,0.00345,0.0069,10.91309
100,30,0,0.27495,0.06166,938,0.00201,0.00403,22.42684
100,60,0,0.29574,0.10833,826,0.00377,0.00754,36.63129
100,90,0,0.26729,0.12221,619,0.00491,0.00982,45.72365
120,0,0,0.44943,0.04661,158,0.00371,0.00742,10.37041
120,30,0,0.30689,0.04919,501,0.0022,0.0044,16.02817
120,60,0,0.3028,0.08022,322,0.00447,0.00894,26.49426
120,90,0,0.1916,0.10977,838,0.00379,0.00758,57.29
