Q[W],alpha,beta,TR_mean,TR_std,n,uc,U95,CV_%
40,0,0,1.20935,0.05425,418,0.00265,0.00531,4.48563
40,30,0,1.20448,0.06832,520,0.003,0.00599,5.67211
40,60,0,1.18016,0.05822,552,0.00248,0.00496,4.93326
40,90,0,1.03561,0.0335,789,0.00119,0.00239,3.23497
60,0,0,0.87609,0.06917,453,0.00325,0.0065,7.89527
60,30,0,0.80227,0.03907,934,0.00128,0.00256,4.87027
60,60,0,0.64937,0.06936,1084,0.00211,0.00421,10.68176
60,90,0,0.79602,0.08378,737,0.00309,0.00617,10.52542
80,0,0,0.65553,0.05483,217,0.00372,0.00744,8.36421
80,30,0,0.42024,0.09253,890,0.0031,0.0062,22.01946
80,60,0,0.42603,0.10593,894,0.00354,0.00709,24.86388
80,90,0,0.37082,0.13551,886,0.00455,0.00911,36.54259
100,0,0,0.53161,0.04309,205,0.00301,0.00602,8.10549
100,30,0,0.27169,0.06206,783,0.00222,0.00444,22.84084
100,60,0,0.34589,0.08873,540,0.00382,0.00764,25.65371
100,90,0,0.28724,0.11728,460,0.00547,0.01094,40.8302
120,0,0,0.45242,0.03512,120,0.00321,0.00641,7.76336
120,30,0,0.32948,0.03065,307,0.00175,0.0035,9.30343
120,60,0,0.33204,0.05522,221,0.00371,0.00743,16.63009
120,90,0,0.19701,0.11609,666,0.0045,0.009,58.92345
