Q[W],alpha,beta,TR_mean,TR_std,n,uc,U95,CV_%
40,0,0,1.17416,0.007947,47,0.001351,0.002703,1.189648
40,30,0,1.17416,0.007442,49,0.00129,0.002581,1.0769
40,60,0,1.15326,0.008727,48,0.001403,0.002805,1.26188
40,90,0,1.03286,0.016186,44,0.001723,0.003447,2.034932
60,0,0,0.87162,0.005259,51,0.001246,0.002492,1.216839
60,30,0,0.80078,0.010862,51,0.001581,0.003163,1.694796
60,60,0,0.65521,0.025647,51,0.002574,0.005148,4.239436
60,90,0,0.7689,0.015845,51,0.002647,0.005294,2.555644
80,0,0,0.65476,0.003858,51,0.001098,0.002197,1.156594
80,30,0,0.40297,0.017078,51,0.002847,0.005693,3.797553
80,60,0,0.39574,0.022958,51,0.003204,0.006408,5.227731
80,90,0,0.30262,0.02164,51,0.003165,0.00633,5.457083
100,0,0,0.52835,0.003049,51,0.000874,0.001747,0.928019
100,30,0,0.27495,0.026879,40,0.003738,0.007476,10.459647
100,60,0,0.29574,0.012633,51,0.002236,0.004473,3.790594
100,90,0,0.26729,0.032671,46,0.005778,0.011557,10.230901
120,0,0,0.44943,0.002341,51,0.000829,0.001657,1.071754
120,30,0,0.30689,0.007651,50,0.001988,0.003976,2.688148
120,60,0,0.3028,0.007451,50,0.001761,0.003523,2.524295
120,90,0,0.1916,0.036687,49,0.00527,0.010541,21.229265
