Q[W],alpha,beta,TR_mean,TR_std,n,uc,U95,CV_%
40,0,0,1.17416,0.010779,21,0.002352,0.004704,2.537697
40,30,0,1.17416,0.006887,13,0.00191,0.00382,1.607466
40,60,0,1.15326,0.008489,17,0.002059,0.004118,5.2097
40,90,0,1.03286,0.024025,40,0.003799,0.007597,2.263265
60,0,0,0.87162,0.008528,12,0.002462,0.004924,7.106691
60,30,0,0.80078,0.027604,42,0.004259,0.008519,3.320981
60,60,0,0.65521,0.042901,47,0.006258,0.012516,7.129983
60,90,0,0.7689,0.116973,57,0.015493,0.030987,14.320161
80,0,0,0.65476,0.005345,8,0.00189,0.00378,3.686362
80,30,0,0.40297,0.049329,27,0.009493,0.018987,8.896983
80,60,0,0.39574,0.04204,18,0.009909,0.019818,7.433312
80,90,0,0.30262,0.078033,80,0.008724,0.017449,18.47493
100,0,0,0.52835,0.005345,7,0.00202,0.004041,1.552555
100,30,0,0.27495,0.064763,48,0.009348,0.018696,26.101068
100,60,0,0.29574,0.043157,49,0.006165,0.01233,11.754741
100,90,0,0.26729,0.111616,52,0.015478,0.030957,35.916168
120,0,0,0.44943,0.005,4,0.0025,0.005,4.081633
120,30,0,0.30689,0.040076,22,0.008544,0.017088,12.852261
120,60,0,0.3028,0.027946,15,0.007216,0.014431,7.909111
120,90,0,0.1916,0.104012,30,0.01899,0.03798,34.403102
